Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
18305831,The Illustrated Man,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",5,4.13,William Morrow Paperbacks,Kindle Edition,291,2013,1951,2019/05/15,2017/04/13,"fiction, kindle, philosophy, science-fiction, space, short-stories, review","fiction (#335), kindle (#208), philosophy (#29), science-fiction (#66), space (#51), short-stories (#5), review (#46)",read,,,,1,0
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",5,4.20,Simon & Schuster,Hardcover,600,2017,2017,2021/01/05,2017/08/15,"biography, history, history-of-science, nonfiction, science, library, review","biography (#43), history (#89), history-of-science (#50), nonfiction (#187), science (#144), library (#250), review (#47)",read,,,,1,0
33507,"Twenty Thousand Leagues Under the Sea (Captain Nemo, #2)",Jules Verne,"Verne, Jules",Anthony Bonner,"=""076072850X""","=""9780760728505""",5,3.89,Barnes & Noble,Hardcover,269,2002,1869,2015/10/11,2014/02/09,"disney, classics, fiction, made-into-movie, ocean, kindle, science, philosophy, science-fiction, favorites, st-thomas, read-again, review","disney (#6), classics (#65), fiction (#187), made-into-movie (#50), ocean (#15), kindle (#72), science (#100), philosophy (#7), science-fiction (#21), favorites (#28), st-thomas (#45), read-again (#29), review (#43)",read,,,,1,0
19150422,The Extreme Life of the Sea,Stephen R. Palumbi,"Palumbi, Stephen R.",Anthony R. Palumbi,"=""1400849934""","=""9781400849932""",4,4.01,Princeton University Press,Kindle Edition,240,2014,2014,2016/06/01,2015/04/30,"kindle, biology, nonfiction, ocean, review","kindle (#9), biology (#40), nonfiction (#71), ocean (#25), review (#44)",read,,,,1,0
252577,"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"McCourt, Frank",,"=""0007205236""","=""9780007205233""",5,4.15,Harper Perennial,Paperback,452,2005,1996,2020/09/25,2014/02/09,"top-100-lifetime, library, audio, award-winning, biography, history, nonfiction, review","top-100-lifetime (#58), library (#43), audio (#34), award-winning (#91), biography (#97), history (#155), nonfiction (#341), review (#42)",read,,,,1,0
35448424,Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II,Robert Kurson,"Kurson, Robert",,"=""""","=""""",5,4.35,Random House,Kindle Edition,416,2004,2004,2017/08/06,2014/02/09,"ocean, biography, history, diving, nonfiction, kindle, science, favorites, st-thomas, review","ocean (#1), biography (#24), history (#44), diving (#8), nonfiction (#110), kindle (#255), science (#143), favorites (#12), st-thomas (#43), review (#38)",read,,,,1,0
21787,The Princess Bride,William Goldman,"Goldman, William",,"=""0345418263""","=""9780345418265""",5,4.27,Ballantine Books,Paperback,429,2003,1973,2016/11/12,2014/02/09,"classics, fiction, made-into-movie, kindle, favorites, st-thomas, review","classics (#77), fiction (#210), made-into-movie (#67), kindle (#11), favorites (#11), st-thomas (#12), review (#37)",read,,,,1,1
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0007491565""","=""9780007491568""",5,3.96,Harper Voyager,Hardcover,227,2013,1953,,2014/02/09,"banned, fiction, kindle, read-again, short-classics, favorites, st-thomas, review","banned (#20), fiction (#320), kindle (#129), read-again (#14), short-classics (#10), favorites (#5), st-thomas (#5), review (#36)",read,,,,2,0
40642337,Solitary: Unbroken by Four Decades in Solitary Confinement,Albert Woodfox,"Woodfox, Albert",,"=""0802129080""","=""9780802129086""",5,4.42,Grove Press,Hardcover,433,2019,2019,2021/01/01,2019/12/04,"biography, emotional, nonfiction, library, award-winning, review","biography (#82), emotional (#30), nonfiction (#297), library (#243), award-winning (#100), review (#34)",read,,,,1,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.28,Knopf,Kindle Edition,368,2019,2019,2020/02/08,2019/11/22,"fiction, library, science-fiction, short-stories, review","fiction (#448), library (#104), science-fiction (#73), short-stories (#3), review (#33)",read,,,,1,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""0385539304""","=""9780385539302""",5,4.32,Doubleday Books,Hardcover,450,2019,2019,2020/03/01,2020/02/22,"biology, library, nonfiction, science, history-of-science, review","biology (#99), library (#142), nonfiction (#313), science (#196), history-of-science (#75), review (#35)",read,Chock full of super cool facts about the body.,,,1,0
43345615,The Outlaw Ocean: Journeys Across the Last Untamed Frontier,Ian Urbina,"Urbina, Ian",,"=""0451492943""","=""9780451492944""",5,4.36,Knopf,Hardcover,560,2019,2019,2019/12/01,2019/11/16,"kindle, nonfiction, ocean, science, review","kindle (#318), nonfiction (#294), ocean (#63), science (#187), review (#32)",read,,,,1,0
35721089,Beautiful Boy: A Father's Journey Through His Son's Addiction,David Sheff,"Sheff, David",,"=""1328974715""","=""9781328974716""",5,4.15,Mariner Books,Paperback,340,2018,2007,2019/11/10,2019/07/14,"biography, emotional, library, made-into-movie, nonfiction, audio, review","biography (#80), emotional (#28), library (#74), made-into-movie (#135), nonfiction (#283), audio (#15), review (#30)",read,,,,1,0
40538681,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,"Higginbotham, Adam",,"=""1501134612""","=""9781501134616""",5,4.37,Simon & Schuster,Hardcover,538,2019,2019,2019/10/25,2019/08/05,"history, history-of-science, library, made-into-movie, nonfiction, science, review","history (#136), history-of-science (#69), library (#82), made-into-movie (#139), nonfiction (#284), science (#183), review (#31)",read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",5,4.45,Crown,Hardcover,426,2018,2018,2018/11/26,2018/11/12,"biography, nonfiction, favorites, kindle, review","biography (#64), nonfiction (#247), favorites (#45), kindle (#301), review (#27)",read,"Open, honest, brave. Great life insights from a powerful inspirational woman. Moved to my favorites list before I even finished the book. I can be an impatient reader, just trying to finish books, but this one was worth slowing myself down for, and that’s how it was meant to be read and digested.",,,1,0
